,Description,Balance(₦),Debit,Credit,Date,Time
0,Unknown,500.00,0.0,500.0,2025-08-01,11:11:51
1,SafeBox Deposit,0.00,-500.0,0.0,2025-08-01,11:11:51
2,Airtime,0.00,-100.0,0.0,2025-08-01,14:22:29
3,Unknown,100.00,0.0,100.0,2025-08-01,14:22:41
4,Spend & Save Deposit,0.00,-20.0,0.0,2025-08-01,14:22:43
5,Unknown,20.00,0.0,20.0,2025-08-01,14:22:44
6,Unknown,0.00,-2000.0,0.0,2025-08-01,15:52:06
7,Unknown,"2,000.00",0.0,2000.0,2025-08-01,15:52:16
8,Unknown,400.00,0.0,400.0,2025-08-01,15:52:17
9,Spend & Save Deposit,0.00,-400.0,0.0,2025-08-01,15:52:17
10,Mobile Data,0.00,-800.0,0.0,2025-08-01,19:55:33
11,(Transaction Payment),800.00,0.0,800.0,2025-08-01,19:55:44
12,Unknown,160.00,0.0,160.0,2025-08-01,19:55:48
13,Spend & Save Deposit,0.00,-160.0,0.0,2025-08-01,19:55:48
14,Unknown,"10,000.00",0.0,10000.0,2025-08-01,21:50:53
15,Electronic Money Transfer Levy,"9,950.00",-50.0,0.0,2025-08-01,21:51:04
16,Auto-save to OWealth Balance,0.00,-9950.0,0.0,2025-08-01,21:52:04
17,Unknown,0.00,-1300.0,0.0,2025-08-02,10:41:37
18,Unknown,"1,300.00",0.0,1300.0,2025-08-02,10:41:43
19,Spend & Save Deposit,0.00,-260.0,0.0,2025-08-02,10:41:44
20,Unknown,260.00,0.0,260.0,2025-08-02,10:41:45
21,Transfer to Muhammed Olowo,0.00,-2100.0,0.0,2025-08-02,18:53:02
22,Unknown,"2,100.00",0.0,2100.0,2025-08-02,18:53:08
23,Spend & Save Deposit,0.00,-420.0,0.0,2025-08-02,18:53:17
24,Unknown,420.00,0.0,420.0,2025-08-02,18:53:18
25,Transfer to MOHAMMED JAMIU,0.00,-3100.0,0.0,2025-08-03,13:26:06
26,Unknown,"3,100.00",0.0,3100.0,2025-08-03,13:26:10
27,Spend & Save Deposit,0.00,-620.0,0.0,2025-08-03,13:26:10
28,Unknown,620.00,0.0,620.0,2025-08-03,13:26:11
29,Unknown,"10,000.00",0.0,10000.0,2025-08-03,16:49:15
30,Electronic Money Transfer Levy,"9,950.00",-50.0,0.0,2025-08-03,16:49:22
31,Auto-save to OWealth Balance,0.00,-9950.0,0.0,2025-08-03,16:50:22
32,Unknown,0.00,-10000.0,0.0,2025-08-03,16:55:53
33,Unknown,"10,000.00",0.0,10000.0,2025-08-03,16:55:57
34,Unknown,"2,000.00",0.0,2000.0,2025-08-03,16:55:59
35,Spend & Save Deposit,0.00,-2000.0,0.0,2025-08-03,16:55:59
36,Airtime,0.00,-3000.0,0.0,2025-08-04,10:04:59
37,OWealth Withdrawal,"3,000.00",0.0,3000.0,2025-08-04,10:05:05
38,Unknown,600.00,0.0,600.0,2025-08-04,10:05:07
39,Spend & Save Deposit,0.00,-600.0,0.0,2025-08-04,10:05:07
40,Airtime,0.00,-50.0,0.0,2025-08-04,13:08:34
41,Unknown,50.00,0.0,50.0,2025-08-04,13:08:40
42,Unknown,10.00,0.0,10.0,2025-08-04,13:08:42
43,Spend & Save Deposit,0.00,-10.0,0.0,2025-08-04,13:08:42
44,Airtime,0.00,-500.0,0.0,2025-08-04,15:55:57
45,Unknown,500.00,0.0,500.0,2025-08-04,15:56:02
46,Spend & Save Deposit,0.00,-100.0,0.0,2025-08-04,15:56:05
47,Unknown,100.00,0.0,100.0,2025-08-04,15:56:06
48,Mobile Data,0.00,-1000.0,0.0,2025-08-05,17:49:41
49,Unknown,"1,000.00",0.0,1000.0,2025-08-05,17:49:45
50,Unknown,200.00,0.0,200.0,2025-08-05,17:49:47
