job_id,job_title,job_location,search_location,job_posted_date,county,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
2189.0,Software Engineer,Atlanta,atlanta,2025-08-16,Japan,Monthly,110870.58,,MediCare,"Project Management, Teamwork"
1379.0,Sales Executive,Boston,boston,2024-07-10,UK,Monthly,,86.14,NextGen Solutions,"Communication, Creativity, Project Management"
430.0,Data Analyst,Dallas,dallas,2025-05-19,Germany,Hourly,74008.55,53.35,DataBridge,"Leadership, Power BI, Project Management, SQL, Teamwork"
3207.0,Accountant,Miami,miami,2024-11-23,USA,Annual,62981.46,,SmartWare,"Leadership, Teamwork, Python, SQL"
449.0,Marketing Specialist,New York,new york,2025-04-26,Brazil,Hourly,51715.78,46.11,BrightPath,"Excel, Communication, Leadership, Power BI"
,Accountant,Seattle,SEATTLE,2023-10-29,Nigeria,Hourly,,92.31,FinEdge,"Leadership, SQL"
2060.0,Software Engineer,Houston,houston,2025-07-07,Nigeria,Monthly,61206.84,86.36,EduCore,"Power BI, Machine Learning, Leadership, Excel, Creativity"
4226.0,Project Manager,Boston,BOSTON,2025-06-12,Japan,Hourly,93046.09,41.55,DataBridge,"Project Management, Teamwork, Machine Learning, Creativity, Communication"
1665.0,Teacher,Chicago,chicago,2025-02-27,Japan,Hourly,101514.71,22.79,HealthLink,"Machine Learning, Python, Excel"
3800.0,Nurse,Chicago,chicago,2025-01-16,USA,Annual,,,BrightPath,"Communication, Project Management"
3520.0,Nurse,San Francisco,san francisco,2025-09-11,India,Hourly,,22.92,TechNova,"Creativity, Communication, Python, Excel"
3281.0,Project Manager,Dallas,DALLAS,2024-07-21,Brazil,Hourly,,98.82,FinEddge,"Project Management, Communication"
1253.0,Teacher,Seattle,seattle,2025-10-08,Nigeria,Monthly,96775.56,32.66,RetailX,"Communication, Teamwork, Creativity"
4806.0,Project Manager,,,2025-03-22,Canada,Hourly,114734.78,62.51,SmartWare,"Project Management, Power BI, Creativity, Python"
3609.0,Project Manager,Atlanta,atlanta,2025-03-12,Brazil,Annual,53152.08,39.22,TechNova,"Project Management, Python, Creativity, Teamwork"
3730.0,Accountant,Los Angeles,LOS ANGELES,2024-10-07,Nigeria,Monthly,115859.02,,BrightPath,"Excel, Creativity"
1410.0,Graphic Designer,Chicago,chicago,2024-09-11,Canada,Annual,92996.92,86.27,Med1Care,"Machine Learning, Power BI"
3995.0,Sales Executive,Los Angeles,los angeles,2025-08-23,Germany,,118677.85,,DataBridge,"Teamwork, Project Management, Excel, Creativity"
3696.0,HR Manager,Chicago,chicago,2024-11-22,India,,30096.09,81.46,TechNova,"Python, Creativity"
3665.0,Marketing Specialist,Miami,miami,2025-07-18,France,Monthly,,45.87,HealthLink,"Teamwork, Python"
457.0,Nurse,Dallas,dallas,2024-02-23,India,,40124.19,35.54,HealthLink,"Excel, Power BI, Machine Learning"
4089.0,Marketing Specialist,Miami,miami,2023-11-03,France,Hourly,45849.42,46.33,DataBridge,
2554.0,Project Manager,Dallas,dallas,2024-01-14,Australia,Monthly,,,NextGen Solutions,"Excel, Creativity, Python, Leadership"
3413.0,HR Manager,San Francisco,san francisco,2025-04-10,France,Annual,82412.96,80.1,RetailX,"Leadership, SQL, Creativity, Python, Project Management"
804.0,Nurse,Los Angeles,LOS ANGELES,2025-03-20,Canada,Monthly,40272.65,94.72,FinEddge,
4936.0,Teacher,Chicago,chicago,2024-09-16,Unknown,Annual,82653.63,69.28,EduCore,"Python, Teamwork, Project Management"
2861.0,Sales Executive,Dallas,dallas,2024-01-30,India,Hourly,67063.05,49.81,BrightPath,"Teamwork, Leadership"
2329.0,Marketing Specialist,Houston,houston,2023-11-01,Canada,Hourly,,95.03,MediCare,"Power BI, Python, SQL"
2770.0,Nurse,Los Angeles,los angeles,2024-12-24,Japan,Monthly,72850.19,92.63,RetailX,"Communication, Project Management, Leadership, Teamwork, Power BI"
1697.0,Marketing Specialist,Dallas,dallas,2023-12-09,Japan,Annual,49623.96,64.71,RetailX,"Communication, Python, Excel, Project Management"
1620.0,Nurse,,,2023-12-08,Nigeria,Hourly,97524.26,,RetailX,"Machine Learning, Teamwork, Creativity, Excel"
1423.0,Graphic Designer,Seattle,seattle,2024-01-16,Canada,,110304.08,85.43,NextGen Solutions,"Leadership, Power BI, Communication, Excel"
4086.0,Project Manager,Seattle,seattle,2024-01-26,Brazil,Monthly,76942.69,92.01,FinEdge,"Communication, Python, SQL"
1555.0,HR Manager,San Francisco,san francisco,2023-11-15,Germany,,61545.89,14.82,NextGen Solutions,"Leadership, Power BI, Machine Learning, SQL, Project Management"
1262.0,Data Analyst,Houston,houston,2025-06-20,Germany,,64321.18,76.67,TechNova,"Python, Leadership, SQL, Teamwork, Creativity"
2108.0,Graphic Designer,Los Angeles,los angeles,2025-05-30,Australia,Hourly,42055.28,16.12,FinEddge,
4209.0,HR Manager,Atlanta,atlanta,2024-06-18,Japan,Annual,58183.95,95.65,TechNova,"Machine Learning, Communication, Teamwork"
3943.0,Sales Executive,Atlanta,atlanta,2025-05-11,Japan,Annual,39568.04,45.03,NextGen Solutions,"Leadership, SQL, Python, Machine Learning"
1906.0,Nurse,San Francisco,san francisco,2024-05-27,USA,Monthly,35524.53,42.08,SmartWare,"SQL, Creativity, Excel, Project Management"
983.0,Accountant,Atlanta,atlanta,2024-08-21,Brazil,Annual,112881.49,99.94,MediCare,"Power BI, Machine Learning, Project Management, Teamwork"
3572.0,Graphic Designer,Los Angeles,LOS ANGELES,2025-08-29,India,Monthly,,90.23,TechN0va,"SQL, Leadership"
3638.0,Sales Executive,Atlanta,atlanta,2025-07-28,Japan,Hourly,57130.24,84.14,NextGen Solutions,"SQL, Leadership, Power BI, Communication, Machine Learning"
2754.0,Marketing Specialist,Los Angeles,los angeles,2023-12-11,USA,Monthly,53651.1,,HealthLink,"Leadership, Machine Learning, Excel, Power BI"
796.0,HR Manager,Dallas,dallas,2024-01-25,UK,Annual,,,TechNova,"Teamwork, Leadership, SQL"
3086.0,Marketing Specialist,Miami,miami,2024-10-31,UK,Monthly,97802.61,75.14,EduCore,"Creativity, Machine Learning, Python"
4939.0,Project Manager,New York,new york,2024-04-10,France,,113456.49,85.47,MediCare,"Teamwork, Python"
3091.0,Sales Executive,Dallas,dallas,2023-12-31,Australia,Hourly,34372.44,70.08,SmartWare,"Machine Learning, Project Management, Leadership, Communication"
79.0,Graphic Designer,Los Angeles,los angeles,2024-11-06,India,Hourly,60503.98,37.27,HealthLink,"Communication, SQL, Excel"
4101.0,Sales Executive,Los Angeles,los angeles,2025-01-19,France,Annual,55948.86,60.6,HealthLink,"Excel, Communication, Project Management, Teamwork, Leadership"
4678.0,Teacher,New York,new york,2025-06-19,Australia,,64681.99,,MediCare,"SQL, Teamwork, Project Management, Creativity, Python"
1659.0,Software Engineer,Atlanta,atlanta,2024-07-31,Australia,,64347.38,,FinEdge,"Power BI, SQL, Machine Learning, Creativity, Communication"
3622.0,Sales Executive,Seattle,seattle,2025-01-18,Germany,,68902.62,,MediCare,"Communication, Leadership"
2647.0,Software Engineer,Atlanta,atlanta,2025-02-06,Canada,,101327.15,56.14,NextGen Solutions,"Project Management, Leadership, Excel"
671.0,Graphic Designer,Atlanta,atlanta,2023-10-21,India,Monthly,117975.08,60.88,FinEdge,"Excel, Machine Learning, SQL"
693.0,Sales Executive,Atlanta,atlanta,2025-04-14,India,Monthly,36029.58,74.44,TechNova,
4757.0,Sales Executive,Dallas,dallas,2025-06-13,Canada,Monthly,112292.49,67.25,DataBridge,"Power BI, Python"
3442.0,Sales Executive,Miami,miami,2025-09-19,Nigeria,Monthly,57687.34,83.39,NextGen Solutions,"SQL, Teamwork"
2591.0,Project Manager,Miami,miami,2024-04-15,Germany,Monthly,91951.91,,TechN0va,"Creativity, Excel, Machine Learning, Python, Communication"
3748.0,Accountant,Dallas,dallas,2025-03-24,France,,70325.01,82.52,RetailX,"Creativity, Excel"
