job_id,job_title,job_title_short,job_location,search_location,job_posted_date,county,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
1,Mechanical Engineer,Mechanical,Seattle,"Seattle, USA",2025-09-26,Kings County,Hourly,80685.82,38.79,NextGen Corp,"Customer Service, Communication"
2,Graphic Designer,Graphic,Austin,"Austin, USA",2025-04-26,Cook County,Hourly,63075.25,30.32,GreenWorks,"Python, SQL, Excel"
3,Customer Support Representative,Customer,Houston,"Houston, USA",2024-11-18,Los Angeles County,Hourly,43600.14,20.96,GreenWorks,"JavaScript, React, Node.js"
4,Project Manager,Project,Houston,"Houston, USA",2024-11-27,Los Angeles County,Yearly,133826.77,64.34,DataNest,"Photoshop, Illustrator"
5,Mechanical Engineer,Mechanical,San Francisco,"San Francisco, USA",2024-11-05,King County,Hourly,85309.76,41.01,BrightPath,"Accounting, QuickBooks, Excel"
6,Software Engineer,Software,San Francisco,"San Francisco, USA",2024-11-12,Cook County,Hourly,43847.02,21.08,SoftHub,"Python, SQL, Excel"
7,Project Manager,Project,New York,"New York, USA",2025-06-27,Harris County,Yearly,130739.46,62.86,GreenWorks,"Python, SQL, Excel"
8,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2025-03-04,Kings County,Hourly,134684.42,64.75,NextGen Corp,"Customer Service, Communication"
9,Data Analyst,Data,New York,"New York, USA",2024-11-28,Harris County,Hourly,71817.47,34.53,BrightPath,"Customer Service, Communication"
10,Marketing Specialist,Marketing,San Francisco,"San Francisco, USA",2025-03-16,Harris County,Yearly,77180.87,37.11,GreenWorks,"JavaScript, React, Node.js"
11,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2025-05-30,Kings County,Yearly,71491.56,34.37,DataNest,"Accounting, QuickBooks, Excel"
12,Mechanical Engineer,Mechanical,New York,"New York, USA",2024-11-23,Kings County,Hourly,51829.44,24.92,NextGen Corp,"Photoshop, Illustrator"
13,Data Analyst,Data,New York,"New York, USA",2025-06-14,Cook County,Yearly,50859.62,24.45,GreenWorks,"Customer Service, Communication"
14,Web Developer,Web,New York,"New York, USA",2025-10-01,Cook County,Hourly,104931.56,50.45,GreenWorks,"Python, SQL, Excel"
15,Web Developer,Web,Austin,"Austin, USA",2025-06-15,Harris County,Hourly,105786.77,50.86,Techify,"Accounting, QuickBooks, Excel"
16,Web Developer,Web,Houston,"Houston, USA",2025-04-08,King County,Hourly,116147.78,55.84,SkyNet Ltd,"SEO, Google Ads, Analytics"
17,Software Engineer,Software,Houston,"Houston, USA",2025-07-17,Cook County,Hourly,107210.67,51.54,Techify,"Accounting, QuickBooks, Excel"
18,Marketing Specialist,Marketing,Chicago,"Chicago, USA",2025-04-04,Harris County,Hourly,84285.64,40.52,NextGen Corp,"Customer Service, Communication"
19,Marketing Specialist,Marketing,Houston,"Houston, USA",2025-03-04,Kings County,Hourly,130916.26,62.94,NextGen Corp,"Customer Service, Communication"
20,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-07-26,Los Angeles County,Yearly,80682.42,38.79,DataNest,"Photoshop, Illustrator"
21,Financial Analyst,Financial,Austin,"Austin, USA",2025-06-20,Harris County,Hourly,95964.99,46.14,GreenWorks,"Python, SQL, Excel"
22,Electrical Technician,Electrical,Los Angeles,"Los Angeles, USA",2025-07-25,Harris County,Yearly,40633.06,19.54,GreenWorks,"Photoshop, Illustrator"
23,Marketing Specialist,Marketing,Seattle,"Seattle, USA",2024-12-14,Harris County,Hourly,47369.32,22.77,BrightPath,"Customer Service, Communication"
24,Project Manager,Project,New York,"New York, USA",2025-07-31,Kings County,Hourly,100680.48,48.4,GreenWorks,"SEO, Google Ads, Analytics"
25,Graphic Designer,Graphic,New York,"New York, USA",2025-01-20,King County,Yearly,67457.16,32.43,DataNest,"Accounting, QuickBooks, Excel"
26,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2025-06-18,Kings County,Hourly,106679.7,51.29,GreenWorks,"AutoCAD, SolidWorks"
27,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2025-06-26,Cook County,Yearly,70965.25,34.12,NextGen Corp,"Accounting, QuickBooks, Excel"
28,Software Engineer,Software,Seattle,"Seattle, USA",2025-07-05,King County,Hourly,147989.32,71.15,BrightPath,"Photoshop, Illustrator"
